Month,Year,Day,Pollutant,Station,Concentration,Units,AveragingPeriod
January,2010,1,PM2.5,San Rafael,34,ug/m3,Daily average
January,2010,2,PM2.5,San Rafael,27,ug/m3,Daily average
January,2010,3,PM2.5,San Rafael,35,ug/m3,Daily average
January,2010,4,PM2.5,San Rafael,46,ug/m3,Daily average
January,2010,5,PM2.5,San Rafael,51,ug/m3,Daily average
January,2010,6,PM2.5,San Rafael,59,ug/m3,Daily average
January,2010,7,PM2.5,San Rafael,64,ug/m3,Daily average
January,2010,8,PM2.5,San Rafael,59,ug/m3,Daily average
January,2010,9,PM2.5,San Rafael,35,ug/m3,Daily average
January,2010,10,PM2.5,San Rafael,51,ug/m3,Daily average
January,2010,11,PM2.5,San Rafael,41,ug/m3,Daily average
January,2010,12,PM2.5,San Rafael,9,ug/m3,Daily average
January,2010,13,PM2.5,San Rafael,16,ug/m3,Daily average
January,2010,14,PM2.5,San Rafael,18,ug/m3,Daily average
January,2010,15,PM2.5,San Rafael,46,ug/m3,Daily average
January,2010,16,PM2.5,San Rafael,51,ug/m3,Daily average
January,2010,17,PM2.5,San Rafael,9,ug/m3,Daily average
January,2010,18,PM2.5,San Rafael,12,ug/m3,Daily average
January,2010,19,PM2.5,San Rafael,,ug/m3,Daily average
January,2010,20,PM2.5,San Rafael,,ug/m3,Daily average
January,2010,21,PM2.5,San Rafael,,ug/m3,Daily average
January,2010,22,PM2.5,San Rafael,,ug/m3,Daily average
January,2010,23,PM2.5,San Rafael,,ug/m3,Daily average
January,2010,24,PM2.5,San Rafael,,ug/m3,Daily average
January,2010,25,PM2.5,San Rafael,,ug/m3,Daily average
January,2010,26,PM2.5,San Rafael,,ug/m3,Daily average
January,2010,27,PM2.5,San Rafael,,ug/m3,Daily average
January,2010,28,PM2.5,San Rafael,,ug/m3,Daily average
January,2010,29,PM2.5,San Rafael,,ug/m3,Daily average
January,2010,30,PM2.5,San Rafael,,ug/m3,Daily average
January,2010,31,PM2.5,San Rafael,,ug/m3,Daily average
February,2010,1,PM2.5,San Rafael,29,ug/m3,Daily average
February,2010,2,PM2.5,San Rafael,16,ug/m3,Daily average
February,2010,3,PM2.5,San Rafael,25,ug/m3,Daily average
February,2010,4,PM2.5,San Rafael,17,ug/m3,Daily average
February,2010,5,PM2.5,San Rafael,13,ug/m3,Daily average
February,2010,6,PM2.5,San Rafael,41,ug/m3,Daily average
February,2010,7,PM2.5,San Rafael,19,ug/m3,Daily average
February,2010,8,PM2.5,San Rafael,13,ug/m3,Daily average
February,2010,9,PM2.5,San Rafael,18,ug/m3,Daily average
February,2010,10,PM2.5,San Rafael,21,ug/m3,Daily average
February,2010,11,PM2.5,San Rafael,14,ug/m3,Daily average
February,2010,12,PM2.5,San Rafael,10,ug/m3,Daily average
February,2010,13,PM2.5,San Rafael,19,ug/m3,Daily average
February,2010,14,PM2.5,San Rafael,15,ug/m3,Daily average
February,2010,15,PM2.5,San Rafael,25,ug/m3,Daily average
February,2010,16,PM2.5,San Rafael,26,ug/m3,Daily average
February,2010,17,PM2.5,San Rafael,20,ug/m3,Daily average
February,2010,18,PM2.5,San Rafael,45,ug/m3,Daily average
February,2010,19,PM2.5,San Rafael,18,ug/m3,Daily average
February,2010,20,PM2.5,San Rafael,19,ug/m3,Daily average
February,2010,21,PM2.5,San Rafael,45,ug/m3,Daily average
February,2010,22,PM2.5,San Rafael,12,ug/m3,Daily average
February,2010,23,PM2.5,San Rafael,16,ug/m3,Daily average
February,2010,24,PM2.5,San Rafael,11,ug/m3,Daily average
February,2010,25,PM2.5,San Rafael,26,ug/m3,Daily average
February,2010,26,PM2.5,San Rafael,12,ug/m3,Daily average
February,2010,27,PM2.5,San Rafael,17,ug/m3,Daily average
February,2010,28,PM2.5,San Rafael,24,ug/m3,Daily average
February,2010,29,PM2.5,San Rafael,,ug/m3,Daily average
March,2010,1,PM2.5,San Rafael,,ug/m3,Daily average
March,2010,2,PM2.5,San Rafael,15,ug/m3,Daily average
March,2010,3,PM2.5,San Rafael,10,ug/m3,Daily average
March,2010,4,PM2.5,San Rafael,9,ug/m3,Daily average
March,2010,5,PM2.5,San Rafael,12,ug/m3,Daily average
March,2010,6,PM2.5,San Rafael,11,ug/m3,Daily average
March,2010,7,PM2.5,San Rafael,17,ug/m3,Daily average
March,2010,8,PM2.5,San Rafael,16,ug/m3,Daily average
March,2010,9,PM2.5,San Rafael,19,ug/m3,Daily average
March,2010,10,PM2.5,San Rafael,15,ug/m3,Daily average
March,2010,11,PM2.5,San Rafael,16,ug/m3,Daily average
March,2010,12,PM2.5,San Rafael,11,ug/m3,Daily average
March,2010,13,PM2.5,San Rafael,19,ug/m3,Daily average
March,2010,14,PM2.5,San Rafael,39,ug/m3,Daily average
March,2010,15,PM2.5,San Rafael,24,ug/m3,Daily average
March,2010,16,PM2.5,San Rafael,25,ug/m3,Daily average
March,2010,17,PM2.5,San Rafael,22,ug/m3,Daily average
March,2010,18,PM2.5,San Rafael,26,ug/m3,Daily average
March,2010,19,PM2.5,San Rafael,24,ug/m3,Daily average
March,2010,20,PM2.5,San Rafael,15,ug/m3,Daily average
March,2010,21,PM2.5,San Rafael,13,ug/m3,Daily average
March,2010,22,PM2.5,San Rafael,22,ug/m3,Daily average
March,2010,23,PM2.5,San Rafael,18,ug/m3,Daily average
March,2010,24,PM2.5,San Rafael,17,ug/m3,Daily average
March,2010,25,PM2.5,San Rafael,23,ug/m3,Daily average
March,2010,26,PM2.5,San Rafael,16,ug/m3,Daily average
March,2010,27,PM2.5,San Rafael,14,ug/m3,Daily average
March,2010,28,PM2.5,San Rafael,13,ug/m3,Daily average
March,2010,29,PM2.5,San Rafael,17,ug/m3,Daily average
March,2010,30,PM2.5,San Rafael,26,ug/m3,Daily average
March,2010,31,PM2.5,San Rafael,10,ug/m3,Daily average
April,2010,1,PM2.5,San Rafael,14,ug/m3,Daily average
April,2010,2,PM2.5,San Rafael,22,ug/m3,Daily average
April,2010,3,PM2.5,San Rafael,28,ug/m3,Daily average
April,2010,4,PM2.5,San Rafael,17,ug/m3,Daily average
April,2010,5,PM2.5,San Rafael,15,ug/m3,Daily average
April,2010,6,PM2.5,San Rafael,15,ug/m3,Daily average
April,2010,7,PM2.5,San Rafael,17,ug/m3,Daily average
April,2010,8,PM2.5,San Rafael,27,ug/m3,Daily average
April,2010,9,PM2.5,San Rafael,22,ug/m3,Daily average
April,2010,10,PM2.5,San Rafael,18,ug/m3,Daily average
April,2010,11,PM2.5,San Rafael,17,ug/m3,Daily average
April,2010,12,PM2.5,San Rafael,11,ug/m3,Daily average
April,2010,13,PM2.5,San Rafael,13,ug/m3,Daily average
April,2010,14,PM2.5,San Rafael,23,ug/m3,Daily average
April,2010,15,PM2.5,San Rafael,21,ug/m3,Daily average
April,2010,16,PM2.5,San Rafael,17,ug/m3,Daily average
April,2010,17,PM2.5,San Rafael,18,ug/m3,Daily average
April,2010,18,PM2.5,San Rafael,12,ug/m3,Daily average
April,2010,19,PM2.5,San Rafael,17,ug/m3,Daily average
April,2010,20,PM2.5,San Rafael,10,ug/m3,Daily average
April,2010,21,PM2.5,San Rafael,21,ug/m3,Daily average
April,2010,22,PM2.5,San Rafael,12,ug/m3,Daily average
April,2010,23,PM2.5,San Rafael,26,ug/m3,Daily average
April,2010,24,PM2.5,San Rafael,25,ug/m3,Daily average
April,2010,25,PM2.5,San Rafael,24,ug/m3,Daily average
April,2010,26,PM2.5,San Rafael,19,ug/m3,Daily average
April,2010,27,PM2.5,San Rafael,20,ug/m3,Daily average
April,2010,28,PM2.5,San Rafael,11,ug/m3,Daily average
April,2010,29,PM2.5,San Rafael,19,ug/m3,Daily average
April,2010,30,PM2.5,San Rafael,19,ug/m3,Daily average
May,2010,1,PM2.5,San Rafael,21,ug/m3,Daily average
May,2010,2,PM2.5,San Rafael,24,ug/m3,Daily average
May,2010,3,PM2.5,San Rafael,28,ug/m3,Daily average
May,2010,4,PM2.5,San Rafael,23,ug/m3,Daily average
May,2010,5,PM2.5,San Rafael,28,ug/m3,Daily average
May,2010,6,PM2.5,San Rafael,19,ug/m3,Daily average
May,2010,7,PM2.5,San Rafael,19,ug/m3,Daily average
May,2010,8,PM2.5,San Rafael,20,ug/m3,Daily average
May,2010,9,PM2.5,San Rafael,19,ug/m3,Daily average
May,2010,10,PM2.5,San Rafael,12,ug/m3,Daily average
May,2010,11,PM2.5,San Rafael,18,ug/m3,Daily average
May,2010,12,PM2.5,San Rafael,20,ug/m3,Daily average
May,2010,13,PM2.5,San Rafael,21,ug/m3,Daily average
May,2010,14,PM2.5,San Rafael,20,ug/m3,Daily average
May,2010,15,PM2.5,San Rafael,17,ug/m3,Daily average
May,2010,16,PM2.5,San Rafael,25,ug/m3,Daily average
May,2010,17,PM2.5,San Rafael,9,ug/m3,Daily average
May,2010,18,PM2.5,San Rafael,3,ug/m3,Daily average
May,2010,19,PM2.5,San Rafael,,ug/m3,Daily average
May,2010,20,PM2.5,San Rafael,,ug/m3,Daily average
May,2010,21,PM2.5,San Rafael,,ug/m3,Daily average
May,2010,22,PM2.5,San Rafael,,ug/m3,Daily average
May,2010,23,PM2.5,San Rafael,,ug/m3,Daily average
May,2010,24,PM2.5,San Rafael,7,ug/m3,Daily average
May,2010,25,PM2.5,San Rafael,6,ug/m3,Daily average
May,2010,26,PM2.5,San Rafael,7,ug/m3,Daily average
May,2010,27,PM2.5,San Rafael,18,ug/m3,Daily average
May,2010,28,PM2.5,San Rafael,27,ug/m3,Daily average
May,2010,29,PM2.5,San Rafael,23,ug/m3,Daily average
May,2010,30,PM2.5,San Rafael,12,ug/m3,Daily average
May,2010,31,PM2.5,San Rafael,18,ug/m3,Daily average
June,2010,1,PM2.5,San Rafael,19,ug/m3,Daily average
June,2010,2,PM2.5,San Rafael,6,ug/m3,Daily average
June,2010,3,PM2.5,San Rafael,6,ug/m3,Daily average
June,2010,4,PM2.5,San Rafael,7,ug/m3,Daily average
June,2010,5,PM2.5,San Rafael,8,ug/m3,Daily average
June,2010,6,PM2.5,San Rafael,6,ug/m3,Daily average
June,2010,7,PM2.5,San Rafael,24,ug/m3,Daily average
