Station,Month,Avg
Oakland West,January,4.857142857
Oakland West,February,1.142857143
Oakland West,March,0.285714286
Oakland West,April,0.142857143
Oakland West,May,0.571428571
Oakland West,June,0.142857143
Oakland West,July,0.714285714
Oakland West,August,0.285714286
Oakland West,September,0.142857143
Oakland West,October,0.285714286
Oakland West,November,1.428571429
Oakland West,December,3.571428571
Redwood City,January,8
Redwood City,February,1.285714286
Redwood City,March,0.285714286
Redwood City,April,0.714285714
Redwood City,May,0.428571429
Redwood City,June,0.571428571
Redwood City,July,0.714285714
Redwood City,August,0.714285714
Redwood City,September,0.714285714
Redwood City,October,0.857142857
Redwood City,November,3.857142857
Redwood City,December,6.142857143
San Francisco Arkansas St,January,7.285714286
San Francisco Arkansas St,February,0.857142857
San Francisco Arkansas St,March,0.142857143
San Francisco Arkansas St,April,0.714285714
San Francisco Arkansas St,May,0.285714286
San Francisco Arkansas St,June,0.142857143
San Francisco Arkansas St,July,0.285714286
San Francisco Arkansas St,August,0.571428571
San Francisco Arkansas St,September,0.142857143
San Francisco Arkansas St,October,1.142857143
San Francisco Arkansas St,November,1.285714286
San Francisco Arkansas St,December,3.285714286
San Rafael,January,7.571428571
San Rafael,February,1.285714286
San Rafael,March,0.142857143
San Rafael,April,0.285714286
San Rafael,May,0.285714286
San Rafael,June,0.714285714
San Rafael,July,0.142857143
San Rafael,August,0.571428571
San Rafael,September,0.428571429
San Rafael,October,0.714285714
San Rafael,November,1.714285714
San Rafael,December,5.142857143
