Year,Month,Day,Pollutant,Station,Concentration,Units,AveragingPeriod
January,2013,1,PM2.5,San Rafael,29,ug/m3,Daily average
January,2013,2,PM2.5,San Rafael,19,ug/m3,Daily average
January,2013,3,PM2.5,San Rafael,28,ug/m3,Daily average
January,2013,4,PM2.5,San Rafael,33,ug/m3,Daily average
January,2013,5,PM2.5,San Rafael,43,ug/m3,Daily average
January,2013,6,PM2.5,San Rafael,25,ug/m3,Daily average
January,2013,7,PM2.5,San Rafael,27,ug/m3,Daily average
January,2013,8,PM2.5,San Rafael,30,ug/m3,Daily average
January,2013,9,PM2.5,San Rafael,36,ug/m3,Daily average
January,2013,10,PM2.5,San Rafael,12,ug/m3,Daily average
January,2013,11,PM2.5,San Rafael,25,ug/m3,Daily average
January,2013,12,PM2.5,San Rafael,29,ug/m3,Daily average
January,2013,13,PM2.5,San Rafael,37,ug/m3,Daily average
January,2013,14,PM2.5,San Rafael,20,ug/m3,Daily average
January,2013,15,PM2.5,San Rafael,35,ug/m3,Daily average
January,2013,16,PM2.5,San Rafael,37,ug/m3,Daily average
January,2013,17,PM2.5,San Rafael,45,ug/m3,Daily average
January,2013,18,PM2.5,San Rafael,28,ug/m3,Daily average
January,2013,19,PM2.5,San Rafael,21,ug/m3,Daily average
January,2013,20,PM2.5,San Rafael,23,ug/m3,Daily average
January,2013,21,PM2.5,San Rafael,44,ug/m3,Daily average
January,2013,22,PM2.5,San Rafael,44,ug/m3,Daily average
January,2013,23,PM2.5,San Rafael,45,ug/m3,Daily average
January,2013,24,PM2.5,San Rafael,41,ug/m3,Daily average
January,2013,25,PM2.5,San Rafael,23,ug/m3,Daily average
January,2013,26,PM2.5,San Rafael,27,ug/m3,Daily average
January,2013,27,PM2.5,San Rafael,18,ug/m3,Daily average
January,2013,28,PM2.5,San Rafael,22,ug/m3,Daily average
January,2013,29,PM2.5,San Rafael,17,ug/m3,Daily average
January,2013,30,PM2.5,San Rafael,14,ug/m3,Daily average
January,2013,31,PM2.5,San Rafael,35,ug/m3,Daily average
February,2013,1,PM2.5,San Rafael,26,ug/m3,Daily average
February,2013,2,PM2.5,San Rafael,25,ug/m3,Daily average
February,2013,3,PM2.5,San Rafael,18,ug/m3,Daily average
February,2013,4,PM2.5,San Rafael,29,ug/m3,Daily average
February,2013,5,PM2.5,San Rafael,21,ug/m3,Daily average
February,2013,6,PM2.5,San Rafael,17,ug/m3,Daily average
February,2013,7,PM2.5,San Rafael,24,ug/m3,Daily average
February,2013,8,PM2.5,San Rafael,25,ug/m3,Daily average
February,2013,9,PM2.5,San Rafael,12,ug/m3,Daily average
February,2013,10,PM2.5,San Rafael,23,ug/m3,Daily average
February,2013,11,PM2.5,San Rafael,17,ug/m3,Daily average
February,2013,12,PM2.5,San Rafael,24,ug/m3,Daily average
February,2013,13,PM2.5,San Rafael,28,ug/m3,Daily average
February,2013,14,PM2.5,San Rafael,18,ug/m3,Daily average
February,2013,15,PM2.5,San Rafael,18,ug/m3,Daily average
February,2013,16,PM2.5,San Rafael,23,ug/m3,Daily average
February,2013,17,PM2.5,San Rafael,17,ug/m3,Daily average
February,2013,18,PM2.5,San Rafael,16,ug/m3,Daily average
February,2013,19,PM2.5,San Rafael,27,ug/m3,Daily average
February,2013,20,PM2.5,San Rafael,20,ug/m3,Daily average
