Year,Month,Day,Pollutant,Station,Concentration,Units,AveragingPeriod
January,2013,1,PM2.5,San Francisco Arkansas St,25,ug/m3,Daily average
January,2013,2,PM2.5,San Francisco Arkansas St,24,ug/m3,Daily average
January,2013,3,PM2.5,San Francisco Arkansas St,31,ug/m3,Daily average
January,2013,4,PM2.5,San Francisco Arkansas St,26,ug/m3,Daily average
January,2013,5,PM2.5,San Francisco Arkansas St,26,ug/m3,Daily average
January,2013,6,PM2.5,San Francisco Arkansas St,20,ug/m3,Daily average
January,2013,7,PM2.5,San Francisco Arkansas St,22,ug/m3,Daily average
January,2013,8,PM2.5,San Francisco Arkansas St,31,ug/m3,Daily average
January,2013,9,PM2.5,San Francisco Arkansas St,41,ug/m3,Daily average
January,2013,10,PM2.5,San Francisco Arkansas St,5,ug/m3,Daily average
January,2013,11,PM2.5,San Francisco Arkansas St,7,ug/m3,Daily average
January,2013,12,PM2.5,San Francisco Arkansas St,21,ug/m3,Daily average
January,2013,13,PM2.5,San Francisco Arkansas St,7,ug/m3,Daily average
January,2013,14,PM2.5,San Francisco Arkansas St,11,ug/m3,Daily average
January,2013,15,PM2.5,San Francisco Arkansas St,24,ug/m3,Daily average
January,2013,16,PM2.5,San Francisco Arkansas St,41,ug/m3,Daily average
January,2013,17,PM2.5,San Francisco Arkansas St,39,ug/m3,Daily average
January,2013,18,PM2.5,San Francisco Arkansas St,37,ug/m3,Daily average
January,2013,19,PM2.5,San Francisco Arkansas St,21,ug/m3,Daily average
January,2013,20,PM2.5,San Francisco Arkansas St,30,ug/m3,Daily average
January,2013,21,PM2.5,San Francisco Arkansas St,32,ug/m3,Daily average
January,2013,22,PM2.5,San Francisco Arkansas St,35,ug/m3,Daily average
January,2013,23,PM2.5,San Francisco Arkansas St,52,ug/m3,Daily average
January,2013,24,PM2.5,San Francisco Arkansas St,34,ug/m3,Daily average
January,2013,25,PM2.5,San Francisco Arkansas St,28,ug/m3,Daily average
January,2013,26,PM2.5,San Francisco Arkansas St,9,ug/m3,Daily average
January,2013,27,PM2.5,San Francisco Arkansas St,8,ug/m3,Daily average
January,2013,28,PM2.5,San Francisco Arkansas St,6,ug/m3,Daily average
January,2013,29,PM2.5,San Francisco Arkansas St,21,ug/m3,Daily average
January,2013,30,PM2.5,San Francisco Arkansas St,29,ug/m3,Daily average
January,2013,31,PM2.5,San Francisco Arkansas St,37,ug/m3,Daily average
February,2013,1,PM2.5,San Francisco Arkansas St,40,ug/m3,Daily average
February,2013,2,PM2.5,San Francisco Arkansas St,35,ug/m3,Daily average
February,2013,3,PM2.5,San Francisco Arkansas St,17,ug/m3,Daily average
February,2013,4,PM2.5,San Francisco Arkansas St,25,ug/m3,Daily average
February,2013,5,PM2.5,San Francisco Arkansas St,16,ug/m3,Daily average
February,2013,6,PM2.5,San Francisco Arkansas St,19,ug/m3,Daily average
February,2013,7,PM2.5,San Francisco Arkansas St,11,ug/m3,Daily average
February,2013,8,PM2.5,San Francisco Arkansas St,7,ug/m3,Daily average
February,2013,9,PM2.5,San Francisco Arkansas St,15,ug/m3,Daily average
February,2013,10,PM2.5,San Francisco Arkansas St,20,ug/m3,Daily average
February,2013,11,PM2.5,San Francisco Arkansas St,18,ug/m3,Daily average
February,2013,12,PM2.5,San Francisco Arkansas St,20,ug/m3,Daily average
February,2013,13,PM2.5,San Francisco Arkansas St,36,ug/m3,Daily average
February,2013,14,PM2.5,San Francisco Arkansas St,30,ug/m3,Daily average
February,2013,15,PM2.5,San Francisco Arkansas St,25,ug/m3,Daily average
February,2013,16,PM2.5,San Francisco Arkansas St,31,ug/m3,Daily average
February,2013,17,PM2.5,San Francisco Arkansas St,16,ug/m3,Daily average
February,2013,18,PM2.5,San Francisco Arkansas St,6,ug/m3,Daily average
February,2013,19,PM2.5,San Francisco Arkansas St,4,ug/m3,Daily average
February,2013,20,PM2.5,San Francisco Arkansas St,10,ug/m3,Daily average
February,2013,21,PM2.5,San Francisco Arkansas St,11,ug/m3,Daily average
February,2013,22,PM2.5,San Francisco Arkansas St,21,ug/m3,Daily average
February,2013,23,PM2.5,San Francisco Arkansas St,7,ug/m3,Daily average
February,2013,24,PM2.5,San Francisco Arkansas St,12,ug/m3,Daily average
February,2013,25,PM2.5,San Francisco Arkansas St,17,ug/m3,Daily average
February,2013,26,PM2.5,San Francisco Arkansas St,12,ug/m3,Daily average
February,2013,27,PM2.5,San Francisco Arkansas St,29,ug/m3,Daily average
February,2013,28,PM2.5,San Francisco Arkansas St,12,ug/m3,Daily average
March,2013,1,PM2.5,San Francisco Arkansas St,17,ug/m3,Daily average
March,2013,2,PM2.5,San Francisco Arkansas St,13,ug/m3,Daily average
March,2013,3,PM2.5,San Francisco Arkansas St,17,ug/m3,Daily average
March,2013,4,PM2.5,San Francisco Arkansas St,10,ug/m3,Daily average
March,2013,5,PM2.5,San Francisco Arkansas St,9,ug/m3,Daily average
March,2013,6,PM2.5,San Francisco Arkansas St,7,ug/m3,Daily average
March,2013,7,PM2.5,San Francisco Arkansas St,6,ug/m3,Daily average
March,2013,8,PM2.5,San Francisco Arkansas St,8,ug/m3,Daily average
March,2013,9,PM2.5,San Francisco Arkansas St,10,ug/m3,Daily average
March,2013,10,PM2.5,San Francisco Arkansas St,16,ug/m3,Daily average
March,2013,11,PM2.5,San Francisco Arkansas St,20,ug/m3,Daily average
March,2013,12,PM2.5,San Francisco Arkansas St,24,ug/m3,Daily average
March,2013,13,PM2.5,San Francisco Arkansas St,26,ug/m3,Daily average
March,2013,14,PM2.5,San Francisco Arkansas St,8,ug/m3,Daily average
March,2013,15,PM2.5,San Francisco Arkansas St,20,ug/m3,Daily average
March,2013,16,PM2.5,San Francisco Arkansas St,9,ug/m3,Daily average
March,2013,17,PM2.5,San Francisco Arkansas St,10,ug/m3,Daily average
March,2013,18,PM2.5,San Francisco Arkansas St,19,ug/m3,Daily average
March,2013,19,PM2.5,San Francisco Arkansas St,17,ug/m3,Daily average
March,2013,20,PM2.5,San Francisco Arkansas St,10,ug/m3,Daily average
March,2013,21,PM2.5,San Francisco Arkansas St,13,ug/m3,Daily average
