Deck()
Deck()
Card('Hearts', '2')
shuffle(52 cards left in the deck,)
shuffle(52 cards left in the deck,)
deal(52 cards left in the deck,)
shuffle(52 cards left in the deck,)
deal(52 cards left in the deck,)
shuffle(52 cards left in the deck,)
deal(52 cards left in the deck,)
shuffle(52 cards left in the deck,)
deal(52 cards left in the deck,)
shuffle(52 cards left in the deck,)
deal(52 cards left in the deck,)
shuffle(52 cards left in the deck,)
deal(52 cards left in the deck,)
shuffle(52 cards left in the deck,)
deal(52 cards left in the deck,)
shuffle(52 cards left in the deck,)
deal(52 cards left in the deck,)
shuffle(52 cards left in the deck,)
deal(52 cards left in the deck,)
shuffle(52 cards left in the deck,)
deal(52 cards left in the deck,)
shuffle(52 cards left in the deck,)
deal(52 cards left in the deck,)
shuffle(52 cards left in the deck,)
deal(52 cards left in the deck,)
shuffle(52 cards left in the deck,)
deal(52 cards left in the deck,)
shuffle(52 cards left in the deck,)
deal(52 cards left in the deck,)
shuffle(52 cards left in the deck,)
deal(52 cards left in the deck,)
shuffle(52 cards left in the deck,)
deal(52 cards left in the deck,)
shuffle(52 cards left in the deck,)
deal(52 cards left in the deck,)
save(51 cards left in the deck,)
shuffle(52 cards left in the deck,)
deal(52 cards left in the deck,)
save(51 cards left in the deck,)
load_from_csv(51 cards left in the deck,)
shuffle(52 cards left in the deck,)
deal(52 cards left in the deck,)
save(51 cards left in the deck,)
load_from_csv(51 cards left in the deck,)
